Admin_Unit_Code,Park_Name,State,Latitude,Longitude
ANTI,Antietam National Battlefield,MD,39.4756,-77.7517
CATO,Catoctin Mountain Park,MD,39.6427,-77.4519
CHOH,Chesapeake & Ohio Canal National Historical Park,MD,39.0004,-77.2528
GWMP,George Washington Memorial Parkway,VA,38.935,-77.1144
HAFE,Harpers Ferry National Historical Park,WV,39.3253,-77.7397
MANA,Manassas National Battlefield Park,VA,38.8137,-77.522
MONO,Monocacy National Battlefield,MD,39.3712,-77.3894
NACE,National Capital Parks-East,DC,38.8677,-76.9958
PRWI,Prince William Forest Park,VA,38.5678,-77.3697
ROCR,Rock Creek Park,DC,38.9556,-77.0522
WOTR,Wolf Trap National Park for the Performing Arts,VA,38.9376,-77.2653
